pk_selfstrade,pk_corp,bill_code,trade_date,pk_operationcode,pk_operationname,pk_securitiescode,pk_securitiesname,pk_selfsgroup,pk_partner,pk_account,pk_cumando,pk_operatesite,pk_seat,pk_econtract,bargain_num,bargain_sum,commision,handle_fee,stamp_tax,transfer_fee,liquidate_fee,other_fee,fact_sum,operator,operate_date,if_voucher,if_audit,assessor,audit_date,state,ndef1,ndef2,ndef3,ndef4,ndef5,vdef1,vdef2,vdef3,vdef4,vdef5,ts,dr,begin_date,end_date,boursecode
,9001,SH20150202900113816,20150202,40001,股票卖出,600873,梅花生物,,,100271236,,,,,1800,12888,3.22,0,12.89,1.08,0,0,12870.81,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113818,20150202,40001,股票卖出,600535,天士力,,,100271236,,,,,600,26166,6.54,0,26.17,1,0,0,26132.29,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113821,20150202,40001,股票卖出,601088,中国神华,,,100271236,,,,,3600,67536,16.88,0,67.54,2.16,0,0,67449.42,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113825,20150202,40001,股票卖出,600111,北方稀土,,,100271236,,,,,1500,38580,9.65,0,38.58,1,0,0,38530.77,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113827,20150202,40001,股票卖出,601899,紫金矿业,,,100271236,,,,,9000,32490,8.12,0,32.49,1,0,0,32448.39,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113829,20150202,40001,股票卖出,600398,海澜之家,,,100271236,,,,,900,10503,2.63,0,10.5,1,0,0,10488.87,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113830,20150202,40001,股票卖出,601288,农业银行,,,100271236,,,,,29100,98358,24.59,0,98.36,17.46,0,0,98217.59,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113831,20150202,40001,股票卖出,600018,上港集团,,,100271236,,,,,5100,32283,8.07,0,32.28,3.06,0,0,32239.59,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113680,20150202,40001,股票卖出,600256,广汇能源,,,100271236,,,,,3600,30708,7.68,0,30.71,2.16,0,0,30667.45,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113683,20150202,40001,股票卖出,600809,山西汾酒,,,100271236,,,,,300,5991,1.5,0,5.99,1,0,0,5982.51,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113684,20150202,40001,股票卖出,601600,中国铝业,,,100271236,,,,,4200,21714,5.43,0,21.71,2.52,0,0,21684.34,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113688,20150202,40001,股票卖出,600066,宇通客车,,,100271236,,,,,900,22680,5.67,0,22.68,1,0,0,22650.65,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113689,20150202,40001,股票卖出,601668,中国建筑,,,100271236,,,,,16800,94248,23.56,0,94.25,10.08,0,0,94120.11,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113690,20150202,40001,股票卖出,601006,大秦铁路,,,100271236,,,,,6600,68508,17.13,0,68.51,3.96,0,0,68418.4,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113691,20150202,40001,股票卖出,600221,海南航空,,,100271236,,,,,6600,20724,5.18,0,20.72,3.96,0,0,20694.14,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113693,20150202,40001,股票卖出,600143,金发科技,,,100271236,,,,,1800,12024,3.01,0,12.02,1.08,0,0,12007.89,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113697,20150202,40001,股票卖出,601168,西部矿业,,,100271236,,,,,2100,17535,4.38,0,17.53,1.26,0,0,17511.83,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113701,20150202,40001,股票卖出,601800,中国交建,,,100271236,,,,,2700,30378,7.59,0,30.38,1.62,0,0,30338.41,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113703,20150202,40001,股票卖出,600705,中航资本,,,100271236,,,,,1800,37062,9.27,0,37.06,1.08,0,0,37014.59,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113704,20150202,40001,股票卖出,600998,九州通,,,100271236,,,,,300,5343,1.34,0,5.34,1,0,0,5335.32,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113706,20150202,40001,股票卖出,601818,光大银行,,,100271236,,,,,22200,89688,22.42,0,89.68,13.32,0,0,89562.58,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113707,20150202,40001,股票卖出,601929,吉视传媒,,,100271236,,,,,900,10683,2.67,0,10.68,1,0,0,10668.65,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113708,20150202,40001,股票卖出,600267,海正药业,,,100271236,,,,,600,10254,2.56,0,10.25,1,0,0,10240.19,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113709,20150202,40001,股票卖出,601898,中煤能源,,,100271236,,,,,2100,13033,3.26,0,13.03,1.26,0,0,13015.45,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113712,20150202,40001,股票卖出,601377,兴业证券,,,100271236,,,,,4200,50904,12.73,0,50.9,2.52,0,0,50837.85,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113713,20150202,40001,股票卖出,603000,人民网,,,100271236,,,,,300,13758,3.44,0,13.76,1,0,0,13739.8,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113714,20150202,40001,股票卖出,600783,鲁信创投,,,100271236,,,,,300,8646,2.16,0,8.65,1,0,0,8634.19,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113715,20150202,40001,股票卖出,600703,三安光电,,,100271236,,,,,1200,20760,5.19,0,20.76,1,0,0,20733.05,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113719,20150202,40001,股票卖出,600016,民生银行,,,100271236,,,,,30300,279366,69.84,0,279.37,18.18,0,0,278998.61,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113724,20150202,40001,股票卖出,601111,中国国航,,,100271236,,,,,1800,13356,3.34,0,13.36,1.08,0,0,13338.22,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113725,20150202,40001,股票卖出,600023,浙能电力,,,100271236,,,,,900,5976,1.49,0,5.98,1,0,0,5967.53,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113727,20150202,40001,股票卖出,600019,宝钢股份,,,100271236,,,,,5400,31266,7.82,0,31.27,3.24,0,0,31223.67,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113730,20150202,40001,股票卖出,601633,长城汽车,,,100271236,,,,,600,26940,6.74,0,26.94,1,0,0,26905.32,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113733,20150202,40001,股票卖出,600893,中航动力,,,100271236,,,,,600,18912,4.73,0,18.91,1,0,0,18887.36,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113735,20150202,40001,股票卖出,600880,博瑞传播,,,100271236,,,,,600,7104,1.78,0,7.11,1,0,0,7094.11,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113738,20150202,40001,股票卖出,600000,浦发银行,,,100271236,,,,,12600,178164,44.54,0,178.16,7.56,0,0,177933.74,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113739,20150202,40001,股票卖出,600741,华域汽车,,,100271236,,,,,1200,20436,5.11,0,20.44,1,0,0,20409.45,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113740,20150202,40001,股票卖出,601018,宁波港,,,100271236,,,,,4200,18438,4.61,0,18.44,2.52,0,0,18412.43,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113741,20150202,40001,股票卖出,601118,海南橡胶,,,100271236,,,,,1200,10944,2.74,0,10.94,1,0,0,10929.32,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113744,20150202,40001,股票卖出,600588,用友网络,,,100271236,,,,,600,21498,5.37,0,21.5,1,0,0,21470.13,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113746,20150202,40001,股票卖出,600340,华夏幸福,,,100271236,,,,,600,28080,7.02,0,28.08,1,0,0,28043.9,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113747,20150202,40001,股票卖出,601186,中国铁建,,,100271236,,,,,3600,43344,10.84,0,43.34,2.16,0,0,43287.66,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113753,20150202,40001,股票卖出,600352,浙江龙盛,,,100271236,,,,,1500,36465,9.12,0,36.47,1,0,0,36418.41,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113756,20150202,40001,股票卖出,600570,恒生电子,,,100271236,,,,,600,36360,9.09,0,36.36,1,0,0,36313.55,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113757,20150202,40001,股票卖出,601601,中国太保,,,100271236,,,,,3600,115956,28.99,0,115.95,2.16,0,0,115808.9,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113760,20150202,40001,股票卖出,601398,工商银行,,,100271236,,,,,19500,86580,21.65,0,86.58,11.7,0,0,86460.07,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113765,20150202,40001,股票卖出,600383,金地集团,,,100271236,,,,,5100,49062,12.27,0,49.06,3.06,0,0,48997.61,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113768,20150202,40001,股票卖出,601857,中国石油,,,100271236,,,,,4500,51165,12.79,0,51.17,2.7,0,0,51098.34,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113770,20150202,40001,股票卖出,601727,上海电气,,,100271236,,,,,2100,22113,5.53,0,22.11,1.26,0,0,22084.1,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113771,20150202,40001,股票卖出,600886,国投电力,,,100271236,,,,,3900,37986,9.5,0,37.99,2.34,0,0,37936.17,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113772,20150202,40001,股票卖出,600030,中信证券,,,100271236,,,,,8700,236814,59.2,0,236.81,5.22,0,0,236512.77,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113777,20150202,40001,股票卖出,601216,内蒙君正,,,100271236,,,,,600,7634,1.91,0,7.63,1,0,0,7623.46,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113779,20150202,40001,股票卖出,600115,东方航空,,,100271236,,,,,3000,15360,3.84,0,15.36,1.8,0,0,15339,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113781,20150202,40001,股票卖出,601939,建设银行,,,100271236,,,,,10800,61776,15.44,0,61.77,6.48,0,0,61692.31,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113782,20150202,40001,股票卖出,600079,人福医药,,,100271236,,,,,600,17400,4.35,0,17.4,1,0,0,17377.25,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113783,20150202,40001,股票卖出,600060,海信电器,,,100271236,,,,,900,13167,3.29,0,13.17,1,0,0,13149.54,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113784,20150202,40001,股票卖出,601888,中国国旅,,,100271236,,,,,300,14055,3.51,0,14.06,1,0,0,14036.43,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113785,20150202,40001,股票卖出,601766,中国南车,,,100271236,,,,,5400,62640,15.66,0,62.64,3.24,0,0,62558.46,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH20150202900113786,20150202,40001,股票卖出,600518,康美药业,,,100271236,,,,,1800,30186,7.55,0,30.19,1.08,0,0,30147.18,,,,,,,,,,,,,100271236,,,,,,,,,101
